Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
99;26052;"IEEE Transactions on Electron Devices";journal;"00189383";0,839;Q1;158;820;2035;21772;5811;2007;2,90;26,55;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
100;25038;"IEEE Transactions on Mobile Computing";journal;"15361233";0,820;Q1;116;308;627;9583;3067;620;4,58;31,11;United States;"Institute of Electrical and Electronics Engineers";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1)"
101;19700186866;"IET Power Electronics";journal;"17554543, 17554535";0,803;Q1;49;240;902;6358;2957;886;2,88;26,49;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q1)"
102;18500162200;"Journal of Infrared, Millimeter, and Terahertz Waves";journal;"18666892";0,803;Q1;46;126;280;3865;617;264;1,94;30,67;Germany;"Springer Verlag";"Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Radiation (Q1)"
103;28918;"IEEE Transactions on Dependable and Secure Computing";journal;"15455971";0,802;Q1;56;102;162;1817;704;153;4,57;17,81;United States;"IEEE Computer Society";"Electrical and Electronic Engineering (Q1)"
104;21096;"Mechatronics";journal;"09574158";0,790;Q1;74;100;376;3479;1130;361;2,69;34,79;United Kingdom;"Elsevier Ltd.";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)"
105;20870;"Telecommunications Policy";journal;"03085961";0,787;Q1;57;95;245;4231;519;228;2,34;44,54;United Kingdom;"Elsevier Ltd.";"Electrical and Electronic Engineering (Q1); Human Factors and Ergonomics (Q1); Information Systems (Q1)"
106;21100227408;"Journal of Micro-Bio Robotics";journal;"21946426, 21946418";0,783;Q1;9;12;19;419;62;19;3,42;34,92;United States;"Springer Science + Business Media";"Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Biomedical Engineering (Q2); Biotechnology (Q2); Materials Science (miscellaneous) (Q2)"
107;21100847942;"Flexible and Printed Electronics";journal;"20588585";0,779;Q1;5;51;28;2285;75;28;2,68;44,80;United States;"Institute of Physics Publishing";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
108;18198;"International Journal of Computer Integrated Manufacturing";journal;"13623052, 0951192X";0,773;Q1;44;110;274;3602;508;263;1,86;32,75;United Kingdom;"Taylor & Francis";"Aerospace Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1); Computer Science Applications (Q2)"
109;21100371258;"Sustainable Energy, Grids and Networks";journal;"23524677";0,769;Q1;10;40;81;1375;215;79;2,72;34,38;United Kingdom;"Elsevier Limited";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
110;9500153930;"IEEE Transactions on Circuits and Systems II: Express Briefs";journal;"15583791, 15497747";0,758;Q1;102;412;672;4630;1912;667;2,74;11,24;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1)"
111;25397;"Dianli Xitong Zidonghua/Automation of Electric Power Systems";journal;"10001026";0,758;Q1;68;611;1760;12716;3818;1760;2,13;20,81;China;"Nanjing Zidonghua Yanjiusuo/Nanjing Automation Research Institute";"Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2)"
112;27191;"Semiconductor Science and Technology";journal;"13616641, 02681242";0,757;Q1;94;297;823;14902;1817;805;2,02;50,18;United Kingdom;"Institute of Physics Publishing";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Condensed Matter Physics (Q2)"
113;18027;"IEEE Robotics and Automation Magazine";journal;"10709932";0,754;Q1;76;82;248;947;587;194;2,69;11,55;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2)"
114;19700201680;"Remote Sensing Letters";journal;"21507058, 2150704X";0,752;Q1;26;95;348;1917;666;345;1,66;20,18;United Kingdom;"Taylor and Francis Inc.";"Earth and Planetary Sciences (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1)"
115;17393;"IEEE Transactions on Vehicular Technology";journal;"00189545";0,750;Q1;136;1073;1828;31880;8500;1816;4,54;29,71;United States;"Institute of Electrical and Electronics Engineers";"Aerospace Engineering (Q1); Automotive Engineering (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Applied Mathematics (Q2)"
116;21100324363;"Vehicular Communications";journal;"22142096";0,739;Q1;15;43;58;1707;312;56;4,05;39,70;United States;"Elsevier Inc.";"Automotive Engineering (Q1); Communication (Q1); Electrical and Electronic Engineering (Q1)"
117;12346;"Optics and Laser Technology";journal;"00303992";0,737;Q1;57;392;907;11446;2409;905;2,70;29,20;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Atomic and Molecular Physics, and Optics (Q2)"
118;17276;"Journal of Microelectromechanical Systems";journal;"10577157";0,734;Q1;125;154;525;4620;1443;518;2,67;30,00;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q2)"
119;17359;"IEEE Transactions on Engineering Management";journal;"00189391";0,734;Q1;80;65;163;2743;307;151;1,85;42,20;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Strategy and Management (Q2)"
120;15424;"Measurement: Journal of the International Measurement Confederation";journal;"02632241";0,733;Q1;61;624;1946;17836;5020;1871;2,51;28,58;Netherlands;"Elsevier BV";"Education (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Applied Mathematics (Q2); Condensed Matter Physics (Q2); Statistics and Probability (Q2)"
121;17316;"IEEE Signal Processing Letters";journal;"10709908";0,732;Q1;112;406;1191;8904;4489;1185;3,53;21,93;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1); Applied Mathematics (Q2)"
122;17295;"IEEE Microwave and Wireless Components Letters";journal;"15311309";0,730;Q1;108;381;911;3682;2194;906;2,43;9,66;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Condensed Matter Physics (Q2)"
123;27237;"IEEE/ACM Transactions on Networking";journal;"10636692";0,716;Q1;152;274;582;10061;2201;580;3,52;36,72;United States;"Institute of Electrical and Electronics Engineers";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Software (Q1); Computer Science Applications (Q2)"
124;29593;"Applied Optics";journal;"21553165, 1559128X";0,715;Q1;170;1525;4224;42179;7669;4177;1,91;27,66;United States;"Optical Society of America";"Electrical and Electronic Engineering (Q1); Engineering (miscellaneous) (Q1); Atomic and Molecular Physics, and Optics (Q2)"
125;21100358106;"IEEE Power Electronics Magazine";journal;"23299207, 23299215";0,710;Q1;10;33;84;233;196;84;2,24;7,06;United States;"IEEE Power Electronics Society";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2); Energy Engineering and Power Technology (Q2)"
126;24831;"Quantum Information Processing";journal;"15700755";0,708;Q1;38;316;790;12619;1842;778;2,41;39,93;Netherlands;"Kluwer Academic Publishers";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1); Electronic, Optical and Magnetic Materials (Q2); Modeling and Simulation (Q2); Statistical and Nonlinear Physics (Q2); Theoretical Computer Science (Q2)"
127;26051;"IEEE Transactions on Electromagnetic Compatibility";journal;"00189375";0,703;Q1;80;303;639;5597;1302;625;1,87;18,47;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2)"
128;13660;"Sensors and Actuators, A: Physical";journal;"09244247";0,699;Q1;132;533;1393;16248;3855;1376;2,55;30,48;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Metals and Alloys (Q1); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Surfaces, Coatings and Films (Q2)"
129;17277;"IEEE Journal of Oceanic Engineering";journal;"03649059";0,697;Q1;83;164;254;2862;680;226;2,66;17,45;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q2); Ocean Engineering (Q2)"
130;15530;"Power System Technology";journal;"10003673";0,696;Q1;49;450;1648;9795;3174;1648;2,00;21,77;China;"Power System Technology Press";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q2); Mechanical Engineering (Q2)"
131;24680;"Diamond and Related Materials";journal;"09259635";0,686;Q1;98;240;535;8687;1293;529;2,33;36,20;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Materials Chemistry (Q1); Chemistry (miscellaneous) (Q2); Electronic, Optical and Magnetic Materials (Q2); Mechanical Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
132;5300152513;"Progress in Electromagnetics Research";journal;"15598985, 10704698";0,682;Q1;76;29;216;974;644;216;2,75;33,59;United States;"Electromagnetics Academy";"Electrical and Electronic Engineering (Q1); Condensed Matter Physics (Q2); Radiation (Q2)"
133;21100203111;"IEEE Wireless Communications Letters";journal;"21622337";0,678;Q1;37;288;509;2592;1704;504;3,31;9,00;United States;"IEEE Communications Society";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2); Physics and Astronomy (miscellaneous) (Q2)"
134;15504;"Diangong Jishu Xuebao/Transactions of China Electrotechnical Society";journal;"10006753";0,673;Q1;43;709;2073;14949;4072;2073;1,89;21,08;China;"China Machine Press";"Electrical and Electronic Engineering (Q1)"
135;62932;"Energies";journal;"19961073";0,670;Q1;56;2176;2121;87390;6535;2097;2,89;40,16;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"Electrical and Electronic Engineering (Q1); Control and Optimization (Q2); Energy Engineering and Power Technology (Q2); Energy (miscellaneous) (Q2); Renewable Energy, Sustainability and the Environment (Q2)"
136;19511;"International Journal of Mobile Communications";journal;"17415217, 1470949X";0,665;Q1;37;32;99;1614;196;99;2,15;50,44;United Kingdom;"Inderscience Publishers";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2)"
137;10600153345;"International Journal of Precision Engineering and Manufacturing";journal;"12298557";0,663;Q1;36;217;897;5124;1473;881;1,72;23,61;South Korea;"The Korean Society of Precision Engineering";"Electrical and Electronic Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q2)"
138;25199;"Journal of Solid State Electrochemistry";journal;"14328488";0,661;Q1;69;397;1113;17071;2615;1086;2,41;43,00;Germany;"Springer Verlag";"Electrical and Electronic Engineering (Q1); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2); Electrochemistry (Q3)"
139;52949;"Lighting Research and Technology";journal;"14771535, 14770938";0,660;Q1;40;142;242;2044;298;191;1,65;14,39;United States;"SAGE Publications";"Electrical and Electronic Engineering (Q1)"
140;20786;"Bell Labs Technical Journal";journal;"10897089, 15387305";0,657;Q1;37;1;19;0;134;19;18,67;0,00;United States;"Lucent Technologies";"Electrical and Electronic Engineering (Q1)"
141;26022;"IEEE Journal of Quantum Electronics";journal;"00189197";0,650;Q1;115;105;353;3490;624;347;1,80;33,24;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2)"
142;5800179580;"Physica Status Solidi (A) Applications and Materials";journal;"18626300, 18626319";0,648;Q1;90;441;1336;14238;2351;1293;1,83;32,29;Germany;"Wiley - V C H Verlag GmbbH & Co.";"Electrical and Electronic Engineering (Q1); Materials Chemistry (Q1); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Surfaces and Interfaces (Q2); Surfaces, Coatings and Films (Q2)"
143;7200153156;"IEEE Transactions on Network and Service Management";journal;"19324537";0,630;Q1;31;87;156;3359;674;153;4,31;38,61;United States;"Institute of Electrical and Electronics Engineers";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
144;19700201678;"IEEE Journal on Emerging and Selected Topics in Circuits and Systems";journal;"21563357";0,619;Q1;30;55;154;2193;617;143;4,26;39,87;United States;"IEEE Circuits and Systems Society";"Electrical and Electronic Engineering (Q1)"
145;15047;"IEEE Sensors Journal";journal;"1530437X";0,619;Q1;89;1058;2475;28398;8057;2455;3,23;26,84;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Instrumentation (Q2)"
146;12352;"Optics Communications";journal;"00304018";0,614;Q1;115;1039;2815;28265;5175;2786;1,99;27,20;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Atomic and Molecular Physics, and Optics (Q2); Electronic, Optical and Magnetic Materials (Q2); Physical and Theoretical Chemistry (Q2)"
147;25549;"Image and Vision Computing";journal;"02628856";0,612;Q1;111;117;264;5470;784;247;2,39;46,75;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Computer Vision and Pattern Recognition (Q2); Signal Processing (Q2)"
148;17336;"IEEE Transactions on Aerospace and Electronic Systems";journal;"00189251";0,611;Q1;121;300;765;7814;2054;755;2,41;26,05;United States;"Institute of Electrical and Electronics Engineers";"Aerospace Engineering (Q1); Electrical and Electronic Engineering (Q1)"
149;21100356802;"Sensing and Bio-Sensing Research";journal;"22141804";0,604;Q1;11;51;159;2423;365;157;2,30;47,51;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Biotechnology (Q2); Electronic, Optical and Magnetic Materials (Q2); Signal Processing (Q2)"
150;26696;"Microelectronic Engineering";journal;"01679317";0,604;Q1;85;289;1206;7227;2240;1181;1,99;25,01;Netherlands;"Elsevier BV";"Electrical and Electronic Engineering (Q1); Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Electronic, Optical and Magnetic Materials (Q2); Nanoscience and Nanotechnology (Q2); Surfaces, Coatings and Films (Q2)"
151;11300153734;"IEEE Systems Journal";journal;"19328184";0,595;Q1;46;393;487;6793;1606;402;3,86;17,28;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2)"
152;17700154922;"International Review of Electrical Engineering";journal;"18276660";0,594;Q1;26;48;297;1353;351;297;1,07;28,19;Italy;"Praise Worthy Prize";"Electrical and Electronic Engineering (Q1)"
153;12318;"Optical Materials";journal;"09253467";0,592;Q1;89;677;1646;24250;3898;1630;2,31;35,82;Netherlands;"Elsevier BV";"Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Atomic and Molecular Physics, and Optics (Q2); Electronic, Optical and Magnetic Materials (Q2)"
154;5300152722;"Smart Structures and Systems";journal;"17381584, 17381991";0,591;Q1;33;124;397;4607;852;384;2,24;37,15;South Korea;"Techno-Press";"Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Control and Systems Engineering (Q2)"
155;18896;"IEEE Communications Letters";journal;"10897798";0,589;Q1;122;706;1747;8163;5209;1739;2,95;11,56;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q1); Computer Science Applications (Q2); Modeling and Simulation (Q2)"
156;13719;"Experimental Heat Transfer";journal;"08916152, 15210480";0,588;Q1;27;40;114;1113;169;113;1,57;27,83;United Kingdom;"Taylor & Francis";"Electrical and Electronic Engineering (Q1); Control and Systems Engineering (Q2); Instrumentation (Q2)"
157;130124;"Sensors";journal;"14243210, 14248220";0,584;Q2;114;2894;5103;119465;16308;5058;2,89;41,28;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"Analytical Chemistry (Q2); Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Medicine (miscellaneous) (Q2); Biochemistry (Q3)"
158;12174;"Navigation, Journal of the Institute of Navigation";journal;"00281522";0,581;Q2;34;43;95;847;160;87;1,23;19,70;United States;"Wiley-Blackwell";"Aerospace Engineering (Q2); Electrical and Electronic Engineering (Q2)"
159;21959;"Superlattices and Microstructures";journal;"07496036, 10963677";0,574;Q2;60;683;1564;22738;3317;1562;2,09;33,29;United States;"Elsevier Inc.";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q2)"
160;15464;"IEEE Transactions on Nanotechnology";journal;"1536125X";0,572;Q2;69;164;437;4867;1238;427;3,14;29,68;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Nanoscience and Nanotechnology (Q2)"
161;26621;"Journal of Electronic Packaging, Transactions of the ASME";journal;"10437398, 15289044";0,569;Q2;45;48;170;1633;354;165;2,40;34,02;United States;"American Society of Mechanical Engineers";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Mechanics of Materials (Q2)"
162;16319;"IEEE Transactions on Nanobioscience";journal;"15361241";0,566;Q2;53;96;286;3733;700;272;2,30;38,89;United States;"Institute of Electrical and Electronics Engineers";"Bioengineering (Q2); Biomedical Engineering (Q2); Biotechnology (Q2); Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Medicine (miscellaneous) (Q2); Nanoscience and Nanotechnology (Q2); Pharmaceutical Science (Q2)"
163;17368;"IEEE Transactions on Nuclear Science";journal;"00189499";0,565;Q2;106;399;1307;8801;2159;1285;1,65;22,06;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Nuclear and High Energy Physics (Q2); Nuclear Energy and Engineering (Q2)"
164;6100153023;"IET Microwaves, Antennas and Propagation";journal;"17518725";0,565;Q2;56;263;656;6185;1374;646;1,97;23,52;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2)"
165;20983;"Journal of Micromechanics and Microengineering";journal;"09601317";0,554;Q2;115;282;894;9444;1794;878;1,91;33,49;United Kingdom;"Institute of Physics Publishing";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Mechanical Engineering (Q2); Mechanics of Materials (Q2); Nanoscience and Nanotechnology (Q2)"
166;13803;"Signal Processing: Image Communication";journal;"09235965";0,551;Q2;69;133;342;5735;1033;337;2,79;43,12;Netherlands;"Elsevier BV";"Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2); Software (Q2)"
167;24306;"Digital Signal Processing: A Review Journal";journal;"10954333, 10512004";0,550;Q2;56;212;514;7750;1396;511;2,48;36,56;United States;"Elsevier Inc.";"Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
168;5700165202;"IET Radar, Sonar and Navigation";journal;"17518792, 17518784";0,548;Q2;69;190;489;5194;1139;477;2,24;27,34;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2)"
169;5100155084;"IET Electric Power Applications";journal;"17518660";0,548;Q2;84;176;208;4788;643;207;3,06;27,20;United Kingdom;"Institution of Engineering and Technology";"Electrical and Electronic Engineering (Q2)"
170;21100829272;"Electronics (Switzerland)";journal;"20799292";0,548;Q2;17;108;192;4798;558;183;2,60;44,43;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
171;28580;"Radio Science";journal;"00486604";0,546;Q2;68;145;360;3762;526;359;1,40;25,94;United States;"Wiley-Blackwell";"Condensed Matter Physics (Q2); Earth and Planetary Sciences (miscellaneous) (Q2); Electrical and Electronic Engineering (Q2)"
172;26004;"IEEE Circuits and Systems Magazine";journal;"1531636X";0,545;Q2;43;14;59;953;190;46;4,50;68,07;United States;"Institute of Electrical and Electronics Engineers";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2)"
173;24360;"Journal of Intelligent and Robotic Systems: Theory and Applications";journal;"09210296, 15730409";0,537;Q2;56;262;497;5687;1154;451;2,09;21,71;Netherlands;"Kluwer Academic Publishers";"Industrial and Manufacturing Engineering (Q1); Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2); Software (Q2)"
174;17700156413;"Dianli Xitong Baohu yu Kongzhi/Power System Protection and Control";journal;"16743415";0,536;Q2;37;434;1732;7851;3062;1732;1,98;18,09;China;"Power System Protection and Control Press";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2)"
175;26048;"IEEE Transactions on Consumer Electronics";journal;"00983063";0,530;Q2;88;65;230;1534;579;229;2,12;23,60;United States;"Institute of Electrical and Electronics Engineers";"Media Technology (Q1); Electrical and Electronic Engineering (Q2)"
176;83986;"Gaodianya Jishu/High Voltage Engineering";journal;"10036520";0,528;Q2;39;485;1609;11791;2851;1609;1,97;24,31;China;"Science Press";"Electrical and Electronic Engineering (Q2); Energy Engineering and Power Technology (Q2)"
177;21100201997;"Journal of Information Display";journal;"15980316, 21581606";0,525;Q2;14;23;87;615;167;86;2,38;26,74;United Kingdom;"Taylor & Francis";"Electrical and Electronic Engineering (Q2); Materials Science (miscellaneous) (Q2)"
178;20500195063;"Quantitative InfraRed Thermography";journal;"17686733, 21167176";0,524;Q2;16;21;52;485;82;48;1,58;23,10;United Kingdom;"Taylor & Francis";"Electrical and Electronic Engineering (Q2); Instrumentation (Q2)"
179;12317;"Optical Fiber Technology";journal;"10685200, 10959912";0,522;Q2;50;164;341;4453;632;339;1,56;27,15;United States;"Elsevier Inc.";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)"
180;21100853663;"Urban Rail Transit";journal;"21996679, 21996687";0,514;Q2;4;25;40;611;33;38;0,87;24,44;Germany;"Springer Verlag";"Automotive Engineering (Q2); Civil and Structural Engineering (Q2); Electrical and Electronic Engineering (Q2); Geography, Planning and Development (Q2); Transportation (Q2); Urban Studies (Q2)"
181;25592;"Journal of Visual Communication and Image Representation";journal;"10473203";0,503;Q2;62;191;639;7924;1691;629;2,33;41,49;United States;"Elsevier Inc.";"Media Technology (Q1); Computer Vision and Pattern Recognition (Q2); Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
182;21177;"Journal of Materials Science: Materials in Electronics";journal;"09574522, 1573482X";0,503;Q2;61;2470;3989;80854;8570;3953;2,33;32,73;Netherlands;"Kluwer Academic Publishers";"Atomic and Molecular Physics, and Optics (Q2); Biomedical Engineering (Q2); Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Bioengineering (Q3); Biomaterials (Q3); Biophysics (Q3)"
183;29653;"Quantum Electronics";journal;"10637818, 14684799";0,501;Q2;39;208;634;5241;691;632;1,10;25,20;United Kingdom;"Turpion Ltd";"Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Statistical and Nonlinear Physics (Q3)"
184;12209;"Laser and Particle Beams";journal;"02630346, 1469803X";0,497;Q2;48;94;280;2854;309;276;1,20;30,36;United Kingdom;"Cambridge University Press";"Atomic and Molecular Physics, and Optics (Q2); Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2)"
185;28598;"Journal of X-Ray Science and Technology";journal;"08953996, 10959114";0,495;Q2;27;75;198;1945;235;196;1,29;25,93;Netherlands;"IOS Press";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Radiation (Q2); Radiology, Nuclear Medicine and Imaging (Q3)"
186;19700177025;"IEEE Transactions on Computational Intelligence and AI in Games";journal;"19430698, 1943068X";0,493;Q2;32;45;107;1349;220;101;1,93;29,98;United States;"Institute of Electrical and Electronics Engineers";"Artificial Intelligence (Q2); Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)"
187;21100229176;"Micromachines";journal;"2072666X";0,493;Q2;22;381;465;15868;1068;454;2,33;41,65;Switzerland;"Multidisciplinary Digital Publishing Institute (MDPI)";"Control and Systems Engineering (Q2); Electrical and Electronic Engineering (Q2); Mechanical Engineering (Q2)"
188;29119;"Physica C: Superconductivity and its Applications";journal;"09214534";0,492;Q2;78;123;591;4005;755;585;1,41;32,56;Netherlands;"Elsevier BV";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Energy Engineering and Power Technology (Q2)"
189;27206;"Solid-State Electronics";journal;"00381101";0,492;Q2;82;223;667;5132;1123;652;1,79;23,01;United Kingdom;"Elsevier Ltd.";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2)"
190;17248;"IEEE Antennas and Propagation Magazine";journal;"10459243";0,491;Q2;73;106;392;1936;645;315;2,37;18,26;United States;"Institute of Electrical and Electronics Engineers";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2)"
191;15026;"Flow Measurement and Instrumentation";journal;"09555986";0,489;Q2;46;122;352;3287;586;346;1,60;26,94;United Kingdom;"Elsevier Ltd.";"Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2)"
192;17364;"IEEE Transactions on Magnetics";journal;"00189464";0,488;Q2;116;1007;3385;16638;6036;3348;1,79;16,52;United States;"Institute of Electrical and Electronics Engineers";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)"
193;17344;"IEEE Transactions on Education";journal;"00189359";0,486;Q2;57;41;109;1281;244;104;2,07;31,24;United States;"IEEE Education Society";"Education (Q2); Electrical and Electronic Engineering (Q2)"
194;6200180165;"Signal, Image and Video Processing";journal;"18631711, 18631703";0,485;Q2;24;225;509;5284;955;503;1,84;23,48;Germany;"Springer Verlag";"Electrical and Electronic Engineering (Q2); Signal Processing (Q2)"
195;17296;"IEEE Microwave Magazine";journal;"15273342";0,485;Q2;60;131;458;1928;680;359;1,65;14,72;United States;"Institute of Electrical and Electronics Engineers";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Radiation (Q2)"
196;27724;"IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems";journal;"02780070";0,485;Q2;106;285;513;6032;1469;503;3,06;21,16;United States;"Institute of Electrical and Electronics Engineers";"Computer Graphics and Computer-Aided Design (Q2); Electrical and Electronic Engineering (Q2); Software (Q2)"
197;21100199777;"IEEE Transactions on Components, Packaging and Manufacturing Technology";journal;"21563950";0,482;Q2;35;238;637;5584;1235;634;1,91;23,46;United States;"Institute of Electrical and Electronics Engineers Inc.";"Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Industrial and Manufacturing Engineering (Q2)"
198;18041;"Journal of Electrostatics";journal;"03043886";0,478;Q2;66;120;274;3227;465;271;1,60;26,89;Netherlands;"Elsevier BV";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Surfaces, Coatings and Films (Q2); Biotechnology (Q3)"
199;33015;"Journal of the Society for Information Display";journal;"10710922";0,477;Q2;43;78;240;1535;266;236;1,20;19,68;United States;"Wiley-Blackwell";"Atomic and Molecular Physics, and Optics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2)"
200;26620;"Journal of Electronic Materials";journal;"03615235";0,474;Q2;83;910;2002;27761;3175;1983;1,50;30,51;United States;"Springer New York LLC";"Condensed Matter Physics (Q2); Electrical and Electronic Engineering (Q2); Electronic, Optical and Magnetic Materials (Q2); Materials Chemistry (Q2)"
